Year;Station;Pairnr;Treatment;Vegetation.height;Litter.depth;Bare.soil;Rock;Grass;Area.for.growth.m2;Taxa_S;Individuals;Dominance_D;Simpson_1-D;Shannon_H;Evenness_e^H/S;Brillouin;Menhinick;Margalef;Equitability_J;Fisher_alpha;Berger-Parker;Chao-1;iChao-1;ACE;Squares
Year 2;Mo Grindar;8;Control;1,5;0,5;5;5;2;0,2;6;44;0,3953;0,6047;1,162;0,5329;0,9624;0,9045;1,321;0,6487;1,877;0,5227;7,466;10,4;12;9,716
Year 2;Mo Grindar;8;Milled;0;0;24;2;1;0,23;6;17;0,2353;0,7647;1,624;0,8456;1,147;1,455;1,765;0,9064;3,305;0,4118;7,412;10,24;9,888;8,69
Year 2;Mo Grindar;9;Control;5;2;0;6;0;0,19;2;27;0,8575;0,1425;0,2826;0,6633;0,2171;0,3849;0,3034;0,4077;0,4988;0,9259;2;2;2;2
Year 2;Mo Grindar;9;Milled;0;0;25;0;0;0,25;4;11;0,2545;0,7455;1,377;0,9908;0,93;1,206;1,251;0,9933;2,261;0,4545;4,455;4,564;4,532;4,333
Year 2;Norra Valbo;1;Control;2,5;1;0;0;0;0,25;8;67;0,2858;0,7142;1,511;0,5662;1,309;0,9774;1,665;0,7265;2,369;0,3731;9,478;12,43;11,89;10,68
Year 2;Norra Valbo;1;Milled;2,5;0;19;2;0;0,23;8;46;0,2184;0,7816;1,768;0,7325;1,474;1,18;1,828;0,8503;2,799;0,3913;8,489;9,957;9,52;8,949
Year 2;Norra Valbo;3;Control;0;0,5;2;3;4;0,22;9;44;0,352;0,648;1,53;0,5132;1,217;1,357;2,114;0,6964;3,424;0,5682;10,95;13,62;15,97;14,98
Year 2;Norra Valbo;3;Milled;0;0,5;8;0;1;0,25;10;45;0,3141;0,6859;1,593;0,4918;1,26;1,491;2,364;0,6918;3,986;0,4889;14,89;18,8;22;22,22
Year 2;Norra Valbo;4;Control;10;2;0;0;0;0,25;6;75;0,2854;0,7146;1,369;0,6553;1,229;0,6928;1,158;0,7641;1,535;0,3333;6,247;6,247;6,75;6,295
Year 2;Norra Valbo;4;Milled;2,5;0,5;0;0;0;0,25;10;61;0,1934;0,8066;1,91;0,675;1,625;1,28;2,189;0,8293;3,4;0,3443;10,98;12,21;12,65;11,88
Year 2;Norra Valbo;5;Control;20;1,5;0;1;0;0,24;9;51;0,2816;0,7184;1,671;0,5907;1,382;1,26;2,035;0,7604;3,171;0,4902;9,98;11,21;12,22;11,69
Year 2;Norra Valbo;5;Milled;0;0;25;3;0;0,22;13;65;0,1399;0,8601;2,243;0,7248;1,889;1,612;2,875;0,8745;4,886;0,2769;13,74;14,52;15,53;14,39
Year 2;Norra Valbo;6;Control;7,5;0,5;0;1;0;0,24;12;57;0,2274;0,7726;1,98;0,6036;1,626;1,589;2,721;0,7968;4,639;0,4386;12,74;13,47;14,93;14,19
Year 2;Norra Valbo;6;Milled;2,5;0;13;5;0;0,2;13;59;0,159;0,841;2,22;0,7082;1,837;1,692;2,943;0,8655;5,157;0,339;13,14;13,33;14,49;13,7
Year 2;Norra Valbo;7;Control;10;1;0;1;1;0,24;9;66;0,2587;0,7413;1,675;0,5931;1,437;1,108;1,909;0,7623;2,816;0,3788;9,164;9,164;9,428;9,271
Year 2;Norra Valbo;7;Milled;0;0;22;9;0;0,16;11;109;0,1706;0,8294;1,95;0,6388;1,756;1,054;2,132;0,8131;3,053;0,2294;11,25;11,66;12,66;11,71
Year 2;Norra Valbo;8;Control;5;0,5;0;2;0;0,23;8;84;0,2106;0,7894;1,709;0,6901;1,531;0,8729;1,58;0,8217;2,174;0,2976;8,988;9,47;10,3;8,882
Year 2;Norra Valbo;8;Milled;1;0;11;11;1;0,14;11;59;0,1607;0,8393;2,039;0,6981;1,719;1,432;2,452;0,8502;3,985;0,2712;12,97;14,93;16,82;13,84
Year 2;Norra Valbo;9;Control;10;2,5;1;1;3;0,24;4;33;0,589;0,411;0,8176;0,5662;0,6536;0,6963;0,858;0,5897;1,192;0,7576;4,485;4,485;4,825;4,604
