Year;Station;Datum;Behandling;Ruta;Total täckningsgrad träd och buskar %;Förekommande arter;Stam, lev. Stubbe, död stubbe;Kat 1 (Årsskott);Kat 2 (<3cm);Kat 3 (3-5 cm);Kat 4 (5-10 cm);Sandförekomst %;Kommentar (kornstorlek mm);;;
2017;Jularbo;20170704;Rotryckning;6;2;Glasbjörk;;4;;;;;;;;
2017;Byvalla;20170706;Rotryckning;1;7;Vårtbjörk;;;15;;;;;;;
2017;Byvalla;20170706;Rotryckning;2;5;Vårtbjörk;;;7;;;;;;;
2017;Byvalla;20170706;Rotryckning;3;50;Glasbjörk;;;8;;;;;;;
2017;Byvalla;20170706;Rotryckning;3;50;Vårtbjörk;;;18;;;;;;;
2017;Byvalla;20170706;Rotryckning;4;40;Vårtbjörk;;;20;;;;;;;
2017;Byvalla;20170706;Rotryckning;4;40;Glasbjörk;;;9;;;;;;;
2017;Byvalla;20170706;Rotryckning;4;40;Asp;;;2;;;;;;;
2017;Byvalla;20170706;Rotryckning;5;50;Sälg;;;20;;;;;;;
2017;Byvalla;20170706;Rotryckning;5;50;Vårtbjörk;;;32;;;;;;;
2017;Byvalla;20170706;Rotryckning;5;50;Asp;;;1;;;;;;;
2017;Byvalla;20170706;Rotryckning;6;20;Glasbjörk;;;5;;;;;;;
2017;Byvalla;20170706;Rotryckning;6;20;Asp;;;3;;;;;;;
2017;Byvalla;20170706;Rotryckning;1;10;Asp;;;;3;;;;;;
2017;Byvalla;20170706;Rotryckning;2;15;Asp;;;1;2;;;;;;
2017;Byvalla;20170706;Rotryckning;2;15;Glasbjörk;;;1;;;;;;;
2017;Byvalla;20170706;Rotryckning;2;15;Vårtbjörk;;;3;;;;;;;
2017;Byvalla;20170706;Rotryckning;3;60;Vårtbjörk;;;2;1;;;;;;
2017;Byvalla;20170706;Rotryckning;3;60;Sälg;;;4;1;;;;;;
2017;Byvalla;20170706;Rotryckning;4;30;Glasbjörk;;;;1;;;;;;
2017;Byvalla;20170706;Rotryckning;4;30;Asp;;;5;;;;;;;
2017;Byvalla;20170706;Rotryckning;5;15;Glasbjörk;;;;1;;;;;;
2017;Byvalla;20170706;Rotryckning;6;5;Sälg;;;2;;;;;;;
2017;Gustafs;20170710;Rotryckning;1;10;Tall;;;;4;;;;;;
2017;Gustafs;20170710;Rotryckning;2;10;Tall;;;;1;;;;;;
2017;Gustafs;20170710;Rotryckning;2;10;Vårtbjörk;;;;;;;;;;
2017;Gustafs;20170710;Rotryckning;3;2;Vårtbjörk;;;1;;;;;;;
2017;Gustafs;20170710;Rotryckning;4;0;;;;;;;;;;;
2017;Gustafs;20170710;Rotryckning;5;0;;;;;;;;;;;
2017;Gustafs;20170710;Rotryckning;6;3;Nyponros;;;2;;;;;;;
2017;Gustafs;20170710;Rotryckning;1;15;Tall;;;2;;;;;;;
2017;Gustafs;20170710;Rotryckning;1;15;Vårtbjörk;;;;2;;;;;;
2017;Gustafs;20170710;Rotryckning;2;20;Tall;;;;1;1;;;;;
2017;Gustafs;20170710;Rotryckning;2;20;Vårtbjörk;;;;1;;;;;;
2017;Gustafs;20170710;Rotryckning;3;20;Tall;;;;;1;;;;;
2017;Gustafs;20170710;Rotryckning;3;20;Vårtbjörk;;;;3;;;;;;
2017;Gustafs;20170710;Rotryckning;4;10;Tall;;;;1;1;;;;;
2017;Gustafs;20170710;Rotryckning;5;100;Tall;;;;1;1;;;;;
2017;Gustafs;20170710;Rotryckning;5;100;Vårtbjörk;;;;3;;;;;;
2017;Gustafs;20170711;Rotryckning;6;0;;;;;;;;;;;
2016;Dagarn;20160815;rotryckning;1;6;björk sp.;S/L;;13;;;8 st i samma stubbe. Blomsterlupin strax utanför ytan;;;;
2016;Dagarn;20160815;rotryckning;2;1;glasbjörk;S;;4;;;;;;;
2016;Dagarn;20160815;rotryckning;2;1;vårtbjörk;S;;1;;;;;;;
2016;Dagarn;20160815;rotryckning;3;1;gran;S;;1;;;Rutan nära levande stubbe av björk;;;;
2016;Dagarn;20160815;rotryckning;4;5;Salix sp.;S/L;;23;;;Varav 13 st i stubbe. Sand inblandat i jorden;;;;
2016;Dagarn;20160815;rotryckning;5;7;hallon;S;7;14;;;;;;;
2016;Dagarn;20160815;rotryckning;5;1;asp;S;1;1;;;;;;;
2016;Dagarn;20160815;rotryckning;5;15;glasbjörk;S/L;3;28;;;24 i stubbe;;;;
2016;Dagarn;20160815;rotryckning;6;45;glasbjörk;L;;48;;;3 stubbar á 22, 12 och 12 stammar;;;;
2016;Dala-Järna;20160818;rotryckning;1;0;-;;;;;;Ingen vedartad vegetation.;;;;
2016;Dala-Järna;20160818;rotryckning;2;0;-;;;;;;Ingen vedartad vegetation. ;;;;
2016;Dala-Järna;20160818;rotryckning;3;0;-;;;;;;Ingen vedartad vegetation.;;;;
2016;Dala-Järna;20160818;rotryckning;4;1;vårtbjörk;S/L;;5;;;1 stubbe á 3 skott.;;;;
2016;Dala-Järna;20160818;rotryckning;5;0;-;;;;;;Ingen vedartad vegetation. ;;;;
2016;Dala-Järna;20160818;rotryckning;6;15;vårtbjörk;S/L;29;46;;;1 stubbe á 8 skott. Mkt rikligt med kortklippta skott. ;;;;
2016;Grängesberg;20160817;rotryckning;1;1;Salix sp.;S;;1;;;Tjockt mosstäcke.;;;;
2016;Grängesberg;20160817;rotryckning;2;0;-;;;;;;Ingen vedartad vegetation i denna ruta. Förekommer 1,5 m bort. ;;;;
2016;Grängesberg;20160817;rotryckning;3;0;-;;;;;;Ingen vedartad vegetation.;;;;
2016;Grängesberg;20160817;rotryckning;4;1;Salix sp.;S;;2;;;;;;;
2016;Grängesberg;20160817;rotryckning;4;1;vårtbjörk;S;;1;;;;;;;
2016;Grängesberg;20160817;rotryckning;5;3;asp;S;;5;;;;;;;
2016;Grängesberg;20160817;rotryckning;5;1;glasbjörk;S;;3;;;;;;;
2016;Grängesberg;20160817;rotryckning;5;1;Salix sp.;S;;1;;;;;;;
2016;Grängesberg;20160817;rotryckning;5;1;tall;S;;1;;;;;;;
2016;Grängesberg;20160817;rotryckning;6;2;vårtbjörk;L;;8;;;3 stubbar á 3, 2, 3 skott.;;;;
2016;Grängesberg;20160817;rotryckning;6;1;glasbjörk;S/L;;6;;;1 stubbe á 3 skott;;;;
2016;Kopparberg;20160817;rotryckning;1;1;glasbjörk;S;;5;;;;;;;
2016;Kopparberg;20160817;rotryckning;2;1;glasbjörk;S;;5;;;;;;;
2016;Kopparberg;20160817;rotryckning;2;1;Salix sp.;S;;2;;;;;;;
2016;Kopparberg;20160817;rotryckning;2;1;vedartad groddplanta;S;;1;;;;;;;
2016;Kopparberg;20160817;rotryckning;2;1;tall;S;;1;;;;;;;
2016;Kopparberg;20160817;rotryckning;2;1;vårtbjörk;S;;3;;;;;;;
2016;Kopparberg;20160817;rotryckning;3;1;vårtbjörk;S/L;;4;;;1 stubbe á 3 skott. ;;;;
2016;Kopparberg;20160817;rotryckning;3;1;glasbjörk;S;1;9;;;;;;;
2016;Kopparberg;20160817;rotryckning;3;1;tall;S;1;;;;;;;;
2016;Kopparberg;20160817;rotryckning;4;3;glasbjörk;S;;28;;;Mkt små skott av båda björkarna;;;;
2016;Kopparberg;20160817;rotryckning;4;1;betula sp.;S;;1;;;vedartad men mkt liten med ett litet blad;;;;
