Station;Datum;Behandling;Ruta;Sandförekomst %;Kommentar (kornstorlek mm);;;;;
Gustavs;20220805;ytskrapning;6;90;Grov till fin, lös med hårda partier. Grus och sten. Flera bohål. Byxbi noterades.;;;;;
Gustavs;20220804;ytskrapning/slåtter;1;30;Fin sand. Medelhård. Grus och sten. ;;;;;
Gustavs;20220804;ytskrapning/slåtter;2;30;Fin sand. Medelhård. Grus och sten. ;;;;;
Gustavs;20220804;ytskrapning/slåtter;3;70;Grov till fin, blandat. Även grus och sten. Löst med hårda partier. Och partier med medelhård sand.;;;;;
Gustavs;20220804;ytskrapning/slåtter;4;80;Grov till fin, lös med hårda partier. Grus och sten.;;;;;
Gustavs;20220805;ytskrapning/slåtter;5;5;Mellan till fin sand. Medelhård till lös. I övrigt tunt lager med mossa och dött gräs o.d.;;;;;
Gustavs;20220805;ytskrapning/slåtter;6;10;Mellan till fin sand. Medelhård till lös. I övrigt tunt lager med mossa och dött gräs o.d.;;;;;
Brunflo ;20220626;Rotryckning;1;5;Mellan- och grovsand inblandat i jorden. Månlåsbräken förekommer i denna ruta. ;;;;;
Brunflo ;20220626;Rotryckning;2;35;Mellan- och grovsand inblandat i jorden.;;;;;
Brunflo ;20220626;Rotryckning;3;<1;Inblandat i jorden. Hög täckning av kärlväxter och mossor.;;;;;
Brunflo ;20220626;Rotryckning;4;0;Sammanhängande moss- och kärlväxttäcke. Månlåsbräken förekommer i denna ruta.;;;;;
Brunflo ;20220626;Rotryckning;5;0;Tätt fältskikt.;;;;;
Brunflo ;20220626;Rotryckning;6;0;Sammanhängande moss- och kärlväxttäcke.;;;;;
Brunflo ;20220626;Ytskrapning;1;25;Mellan- och grovsand inblandat i jorden.;;;;;
Brunflo ;20220626;Ytskrapning;2;30;Mellan- och grovsand inblandat i jorden.;;;;;
Brunflo ;20220626;Ytskrapning;3;35;Mellan- och grovsand inblandat i jorden.;;;;;
Brunflo ;20220626;Ytskrapning;4;40;Mellan- och grovsand inblandat i jorden.;;;;;
Brunflo ;20220626;Ytskrapning;5;40;Mellan- och grovsand inblandat i jorden.;;;;;
Brunflo ;20220626;Ytskrapning;6;20;Mellan- och grovsand inblandat i jorden. Stenigt. ;;;;;
Mattmar;20220628;Rotryckning;1;25;Grusblandad sand, blandade fraktioner. Packad men inte för hård.;;;;;
Mattmar;20220628;Rotryckning;2;15;Grusblandad sand, blandade fraktioner. ;;;;;
Mattmar;20220628;Rotryckning;3;30;Grusblandad sand, blandade fraktioner. Packad men inte för hård.;;;;;
Mattmar;20220628;Rotryckning;4;20;Blandade sandfraktioner med mest finkornig sand.;;;;;
Mattmar;20220628;Rotryckning;5;<1;Blandade sandfraktioner med mest finkornig sand. Sammanhängande Moss- och kärlväxttäcke. 11 ex månlåsbräken.;;;;;
Mattmar;20220628;Rotryckning;6;0;Tätt moss- och förnatäcke.;;;;;
Mattmar;20220628;Rotryckning;6;;;;;;;
Mattmar;20220628;Rotryckning;6;;;;;;;
Mattmar;20220628;Ytskrapning;1;60;Blandade sandfraktioner med mest finkornig sand.;;;;;
Mattmar;20220628;Ytskrapning;2;30;Blandade sandfraktioner med mest finkornig sand. Inblandning av organisk jord. Ca 30% spridd makadam.;;;;;
Mattmar;20220628;Ytskrapning;3;30;Blandade sandfraktioner med mest finkornig sand.;;;;;
Mattmar;20220628;Ytskrapning;4;<1;Tätt mosstäcke. Blandade sandfraktioner med mest finkornig sand.;;;;;
Mattmar;20220628;Ytskrapning;5;10;Blandade sandfraktioner med mest finkornig sand. Stenar inblandat.;;;;;
Mattmar;20220628;Ytskrapning;6;1;Tätt mosstäcke. Blandade sandfraktioner med mest finkornig sand.;;;;;
Ope;20220622;Rotryckning;1;0;Sammanhängande moss- och kärlväxttäcke.;;;;;
Ope;20220622;Rotryckning;2;0;Sammanhängande moss- och kärlväxttäcke.;;;;;
Ope;20220622;Rotryckning;3;1;Inblandad sparsamt i jorden, fin- till mellansand.;;;;;
Ope;20220622;Rotryckning;4;0;Sammanhängande moss- och kärlväxttäcke.;;;;;
Ope;20220622;Rotryckning;5;0;Sammanhängande moss- och kärlväxttäcke.;;;;;
Ope;20220622;Rotryckning;6;0;Sammanhängande moss- och kärlväxttäcke.;;;;;
Ope;20220622;Ytskrapning;1;10;Löst, inblandat i jord och grus under ytligt gruslager. Grus dominerar. Mellansand. ;;;;;
Ope;20220622;Ytskrapning;2;5;Inblandat i jord och grus under tunt gruslager. Enstaka fläckar blottade. Mellansand.;;;;;
Ope;20220622;Ytskrapning;3;10;Inblandat i jord och grus under tunt gruslager. Enstaka fläckar blottade. Mellansand.;;;;;
Ope;20220622;Ytskrapning;4;10;Inblandat i jord och grus under tunt gruslager. Inslag av  blottade fläckar. Mellan- och finsand. Enstaka fläck med sand från borttagna sandhögar.;;;;;
Ope;20220622;Ytskrapning;5;1;Inblandat i jord och grus som mindre fläckar. Större gruskorn och utbredd vegetation i övrigt.;;;;;
Ope;20220622;Ytskrapning;6;1;Inblandat i jord och grus. Större gruskorn och sten. Moss- och vegetationstäckning i övrigt.;;;;;
Trångsviken;20220627;Rotryckning;1;5;Blandade sandfraktioner inblandat i jorden. 3 ex månlåsbräken i ytan. ;;;;;
Trångsviken;20220627;Rotryckning;2;25;Blandade sandfraktioner inblandat i jorden. Lite trampstörning av genande människor. 24 ex månlåsbräken i ytan. ;;;;;
Trångsviken;20220627;Rotryckning;3;15;Blandade sandfraktioner inblandat i jorden. Lite trampstörning av genande människor. 6 ex månlåsbräken i ytan. ;;;;;
Trångsviken;20220627;Rotryckning;4;10;Blandade sandfraktioner inblandat i jorden. 10 ex månlåsbräken i ytan. ;;;;;
Trångsviken;20220627;Rotryckning;5;0;Tätt mosstäcke.;;;;;
Trångsviken;20220627;Rotryckning;6;1;Tätt mosstäcke. Sandblottor vid lokal markstörning.;;;;;
Trångsviken;20220627;Rotryckning;6;;;;;;;
Trångsviken;20220627;Ytskrapning;1;<1;Möjligen finns finsand sparsamt inblandat jorden. Mycket sten spritt i ytan.;;;;;
Trångsviken;20220627;Ytskrapning;2;20;Blandade sandfraktioner i jorden. ;;;;;
Trångsviken;20220627;Ytskrapning;3;30;Blandade sandfraktioner i sanddominerad jord. Gott om makadamstenar i halva ytan. ;;;;;
Trångsviken;20220627;Ytskrapning;4;20;Blandade sandfraktioner i jorden. ;;;;;
Trångsviken;20220627;Ytskrapning;5;30;Blandade sandfraktioner i jorden. Ett bohål av grävande insekt. ;;;;;
Trångsviken;20220627;Ytskrapning;6;25;Blandade sandfraktioner i jorden. ;;;;;
